rnaseq_sample,guardian_dependence,executioner_availability,r,resistant
BA2885R,0.5565770862800565,0.7722772277227723,270.637204869458,1
BA2639R,0.5014144271570015,0.5318246110325319,219.058509308804,1
BA2775R,0.8111739745403111,0.32107496463932106,152.635491151849,0
BA2786R,0.09971711456859972,0.8486562942008486,152.610294888823,0
BA2399R,0.3741159830268741,0.49929278642149927,75.1564733948445,0
BA2850R,0.6895332390381895,0.8472418670438473,109.376815106294,0
BA2174R,0.49434229137199437,0.19377652050919378,203.493497768704,1
BA3001R,0.35714285714285715,0.4908062234794908,61.3187727949606,0
BA2311R,0.6626591230551626,0.3012729844413013,197.197932594811,1
BA2483R,0.04526166902404526,0.7043847241867044,8.085970321540621e-09,0
BA3040R,0.24964639321074963,0.004243281471004243,204.912470274957,1
BA2837R,0.7659123055162659,0.6478076379066479,210.73570600666,1
BA2256R,0.3132956152758133,0.958981612446959,53.0714721123757,0
BA2821R,0.41371994342291374,0.5997171145685997,130.924685413493,0
BA2233R,0.7496463932107497,0.553041018387553,163.683035661415,1
BA2880R,0.6485148514851485,0.12446958981612447,268.702431203592,1
BA2621R,0.6251768033946252,0.6039603960396039,194.508804333155,1
BA3002R,0.04809052333804809,0.8288543140028288,39.0655324743903,0
BA2501R,0.25742574257425743,0.5374823196605375,8.085970321540621e-09,0
BA2133R,0.8826025459688827,0.48797736916548795,179.220128301266,1
BA2212R,0.5063649222065064,0.6152758132956153,201.216054232342,1
BA2477R,0.6103253182461104,0.6534653465346535,181.316533939204,1
BA2659R,0.24964639321074963,0.12871287128712872,154.861092315807,0
BA2124R,0.7397454031117398,0.2263083451202263,89.8708299175159,0
BA2363R,0.7263083451202264,0.31824611032531824,167.042784389521,1
BA2369R,0.64002828854314,0.4724186704384724,208.757664702469,1
BA2400R,0.5926449787835927,0.7553041018387553,111.404764140545,0
BA2762R,0.8394625176803394,0.8104667609618105,122.153970721894,0
BA2312R,0.5509193776520509,0.16831683168316833,172.543374642739,1
BA2813R,0.7567185289957568,0.9024045261669024,34.1972945762303,0
BA2211R,0.6449787835926449,0.36633663366336633,81.7414009073359,0
BA2171R,0.8196605374823197,0.5148514851485149,99.0531187415459,0
BA2746R,0.8557284299858557,0.30834512022630833,203.215351752529,1
BA2809R,0.11173974540311174,0.9886845827439887,62.521090932413,0
BA2801R,0.9052333804809052,0.314002828854314,227.313097965695,1
BA3030R,0.14427157001414428,0.3451202263083451,209.933471212509,1
BA2296R,0.12942008486562942,0.4314002828854314,203.089732634232,1
BA2300R,0.26874115983026875,0.10183875530410184,150.999600426295,0
BA2903R,0.9985855728429985,0.9674681753889675,212.929369320448,1
BA2473R,0.2743988684582744,0.3635077793493635,153.597299708927,0
BA2646R,0.11386138613861387,0.08062234794908062,45.7373232474053,0
BA2240R,0.2157001414427157,0.7934936350777935,81.6494822741076,0
BA2272R,0.44554455445544555,0.27157001414427157,142.618831396108,0
BA2306R,0.21994342291371993,0.8274398868458275,177.900780197766,1
BA2765R,0.7263083451202264,0.26449787835926447,232.146536856843,1
BA2904R,0.6895332390381895,0.7482319660537482,125.482642954619,0
BA2234R,0.2065063649222065,0.8741159830268741,179.365779629149,1
BA2022R,0.20226308345120225,0.1867043847241867,63.0219901228188,0
BA2037R,0.12093352192362093,0.31966053748231965,153.323050477767,0
BA2184R,0.10537482319660538,0.26874115983026875,50.410353593637,0
BA3009R,0.9052333804809052,0.4526166902404526,100.251618485662,0
BA2842R,0.8635077793493635,0.3437057991513437,255.197905066519,1
BA2442R,0.4823196605374823,0.6364922206506365,45.9697603736654,0
BA2758R,0.582036775106082,0.628005657708628,260.263639046349,1
BA2663R,0.9483734087694484,0.6237623762376238,264.798916134486,1
BA2570R,0.22418670438472418,0.8953323903818954,213.105315202854,1
BA2764R,0.6039603960396039,0.30975954738330974,257.559047767395,1
